full_text,cleaning,case_folding,tokenize,filtering/stopword removal,stemming_data
Mendingan bully emyu yg goblok dah daripada ribut soal debat capres wkwk,Mendingan bully emyu yg goblok dah daripada ribut soal debat capres wkwk,mendingan bully emyu yg goblok dah daripada ribut soal debat capres wkwk,"['mendingan', 'bully', 'emyu', 'yg', 'goblok', 'dah', 'daripada', 'ribut', 'soal', 'debat', 'capres', 'wkwk']","['mendingan', 'bully', 'emyu', 'yg', 'goblok', 'dah', 'ribut', 'debat', 'capres', 'wkwk']",mending bully emyu yg goblok dah ribut debat capres wkwk
@NgalimanMS @aniesbaswedan @cakimiNOW @DPP_PKB @EmHasanuddin @Jazilul_Fawaid @zainul_munas @HasanRofiqi4 @Mursyidan10 Anies memang nomor 1 dalam debat capres pertama,NgalimanMS aniesbaswedan cakimiNOW DPPPKB EmHasanuddin JazilulFawaid zainulmunas HasanRofiqi Mursyidan Anies memang nomor  dalam debat capres pertama,ngalimanms aniesbaswedan cakiminow dpppkb emhasanuddin jazilulfawaid zainulmunas hasanrofiqi mursyidan anies memang nomor  dalam debat capres pertama,"['ngalimanms', 'aniesbaswedan', 'cakiminow', 'dpppkb', 'emhasanuddin', 'jazilulfawaid', 'zainulmunas', 'hasanrofiqi', 'mursyidan', 'anies', 'memang', 'nomor', 'dalam', 'debat', 'capres', 'pertama']","['ngalimanms', 'aniesbaswedan', 'cakiminow', 'dpppkb', 'emhasanuddin', 'jazilulfawaid', 'zainulmunas', 'hasanrofiqi', 'mursyidan', 'anies', 'nomor', 'debat', 'capres']",ngalimanms aniesbaswedan cakiminow dpppkb emhasanuddin jazilulfawaid zainulmunas hasanrofiqi mursyid anies nomor debat capres
"mulai goyah abis nonton debat capres :"";0;1;0;0;in;496829247;1734724792446800369;MiftahMsh;https://twitter.com/MiftahMsh/status/1734724792446800369
Tue Dec 12 23:59:49 +0000 2023;1734724770867093554;DARI DEBAT CAPRES 1: secara umum bisa diprediksi Calon 1 &amp  Calon 3 menggunakan model retorika yg cukup memadai.  Sdg Calon 2 berkutat pd gagasan yg tak berujung dan beban masa lalu. Gagasan teoritis Calon 1 berada di menara gading sangat indah memukau sdg Calon 3 lebih afirmatif""","mulai goyah abis nonton debat capres inMiftahMshhttpstwittercomMiftahMshstatus
Tue Dec    DARI DEBAT CAPRES  secara umum bisa diprediksi Calon  amp  Calon  menggunakan model retorika yg cukup memadai  Sdg Calon  berkutat pd gagasan yg tak berujung dan beban masa lalu Gagasan teoritis Calon  berada di menara gading sangat indah memukau sdg Calon  lebih afirmatif","mulai goyah abis nonton debat capres inmiftahmshhttpstwittercommiftahmshstatus
tue dec    dari debat capres  secara umum bisa diprediksi calon  amp  calon  menggunakan model retorika yg cukup memadai  sdg calon  berkutat pd gagasan yg tak berujung dan beban masa lalu gagasan teoritis calon  berada di menara gading sangat indah memukau sdg calon  lebih afirmatif","['mulai', 'goyah', 'abis', 'nonton', 'debat', 'capres', 'inmiftahmshhttpstwittercommiftahmshstatus', 'tue', 'dec', 'dari', 'debat', 'capres', 'secara', 'umum', 'bisa', 'diprediksi', 'calon', 'amp', 'calon', 'menggunakan', 'model', 'retorika', 'yg', 'cukup', 'memadai', 'sdg', 'calon', 'berkutat', 'pd', 'gagasan', 'yg', 'tak', 'berujung', 'dan', 'beban', 'masa', 'lalu', 'gagasan', 'teoritis', 'calon', 'berada', 'di', 'menara', 'gading', 'sangat', 'indah', 'memukau', 'sdg', 'calon', 'lebih', 'afirmatif']","['goyah', 'abis', 'nonton', 'debat', 'capres', 'inmiftahmshhttpstwittercommiftahmshstatus', 'tue', 'dec', 'debat', 'capres', 'diprediksi', 'calon', 'amp', 'calon', 'model', 'retorika', 'yg', 'memadai', 'sdg', 'calon', 'berkutat', 'pd', 'gagasan', 'yg', 'berujung', 'beban', 'gagasan', 'teoritis', 'calon', 'menara', 'gading', 'indah', 'memukau', 'sdg', 'calon', 'afirmatif']",goyah abis nonton debat capres inmiftahmshhttpstwittercommiftahmshstatus tue dec debat capres prediksi calon amp calon model retorika yg pada sdg calon kutat pd gagas yg ujung beban gagas teoritis calon menara gading indah pukau sdg calon afirmatif
"saya gak takut gak punya jabatan pak anies!""  tapi nyalon mulu lu. #DebatCapres2023  #DebatPilpres2024  #DebatPilpres  #DebatCapres""",saya gak takut gak punya jabatan pak anies  tapi nyalon mulu lu DebatCapres  DebatPilpres  DebatPilpres  DebatCapres,saya gak takut gak punya jabatan pak anies  tapi nyalon mulu lu debatcapres  debatpilpres  debatpilpres  debatcapres,"['saya', 'gak', 'takut', 'gak', 'punya', 'jabatan', 'pak', 'anies', 'tapi', 'nyalon', 'mulu', 'lu', 'debatcapres', 'debatpilpres', 'debatpilpres', 'debatcapres']","['gak', 'takut', 'gak', 'jabatan', 'anies', 'nyalon', 'mulu', 'lu', 'debatcapres', 'debatpilpres', 'debatpilpres', 'debatcapres']",gak takut gak jabat anies nyalon mulu lu debatcapres debatpilpres debatpilpres debatcapres
"Soal Demokrasi, Begini Tanggapan 3 Calon Presiden  #DebatCapres2023 #DebatPilpres2024 #DebatCapres  https://t.co/du9xNVcK4t",Soal Demokrasi Begini Tanggapan  Calon Presiden  DebatCapres DebatPilpres DebatCapres  httpstcoduxNVcKt,soal demokrasi begini tanggapan  calon presiden  debatcapres debatpilpres debatcapres  httpstcoduxnvckt,"['soal', 'demokrasi', 'begini', 'tanggapan', 'calon', 'presiden', 'debatcapres', 'debatpilpres', 'debatcapres', 'httpstcoduxnvckt']","['demokrasi', 'tanggapan', 'calon', 'presiden', 'debatcapres', 'debatpilpres', 'debatcapres', 'httpstcoduxnvckt']",demokrasi tanggap calon presiden debatcapres debatpilpres debatcapres httpstcoduxnvckt
seneng bats di tl ku yg rame habis debat capres cawapres tuh yg jokes ala kpopers jd ngerti lgsg maksudmya apa 🤣🤣,seneng bats di tl ku yg rame habis debat capres cawapres tuh yg jokes ala kpopers jd ngerti lgsg maksudmya apa ,seneng bats di tl ku yg rame habis debat capres cawapres tuh yg jokes ala kpopers jd ngerti lgsg maksudmya apa ,"['seneng', 'bats', 'di', 'tl', 'ku', 'yg', 'rame', 'habis', 'debat', 'capres', 'cawapres', 'tuh', 'yg', 'jokes', 'ala', 'kpopers', 'jd', 'ngerti', 'lgsg', 'maksudmya', 'apa']","['seneng', 'bats', 'tl', 'ku', 'yg', 'rame', 'habis', 'debat', 'capres', 'cawapres', 'tuh', 'yg', 'jokes', 'ala', 'kpopers', 'jd', 'ngerti', 'lgsg', 'maksudmya']",neng bats tl ku yg rame habis debat capres cawapres tuh yg jokes ala kpopers jd ngerti lgsg maksudmya
@GibranRakabumi Ini toh joget nya ...dalam merespon debat capres ...seperti gaya anak hiperaktif...gitu Yaa... https://t.co/cSHY3yPVRw,GibranRakabumi Ini toh joget nya dalam merespon debat capres seperti gaya anak hiperaktifgitu Yaa httpstcocSHYyPVRw,gibranrakabumi ini toh joget nya dalam merespon debat capres seperti gaya anak hiperaktifgitu yaa httpstcocshyypvrw,"['gibranrakabumi', 'ini', 'toh', 'joget', 'nya', 'dalam', 'merespon', 'debat', 'capres', 'seperti', 'gaya', 'anak', 'hiperaktifgitu', 'yaa', 'httpstcocshyypvrw']","['gibranrakabumi', 'joget', 'nya', 'merespon', 'debat', 'capres', 'gaya', 'anak', 'hiperaktifgitu', 'yaa', 'httpstcocshyypvrw']",gibranrakabumi joget nya merespon debat capres gaya anak hiperaktifgitu yaa httpstcocshyypvrw
"Selalu ada Romantisme ditengah Perjuangan, menjadi sesuatu banget 💝💝💝  Sat Set Tas Tes  #DebatCapres Manchester United santai Maguire Emosian paslon Wowo No 3 GAMA m3nang https://t.co/Dx7ij7Fw6J",Selalu ada Romantisme ditengah Perjuangan menjadi sesuatu banget   Sat Set Tas Tes  DebatCapres Manchester United santai Maguire Emosian paslon Wowo No  GAMA mnang httpstcoDxijFwJ,selalu ada romantisme ditengah perjuangan menjadi sesuatu banget   sat set tas tes  debatcapres manchester united santai maguire emosian paslon wowo no  gama mnang httpstcodxijfwj,"['selalu', 'ada', 'romantisme', 'ditengah', 'perjuangan', 'menjadi', 'sesuatu', 'banget', 'sat', 'set', 'tas', 'tes', 'debatcapres', 'manchester', 'united', 'santai', 'maguire', 'emosian', 'paslon', 'wowo', 'no', 'gama', 'mnang', 'httpstcodxijfwj']","['romantisme', 'ditengah', 'perjuangan', 'banget', 'sat', 'set', 'tas', 'tes', 'debatcapres', 'manchester', 'united', 'santai', 'maguire', 'emosian', 'paslon', 'wowo', 'no', 'gama', 'mnang', 'httpstcodxijfwj']",romantisme tengah juang banget sat set tas tes debatcapres manchester united santai maguire emosi paslon wowo no gama mnang httpstcodxijfwj
Bapak memang terlihat sehat tetapi badan bapak kayaknya terlalu gemuk #debat capres,Bapak memang terlihat sehat tetapi badan bapak kayaknya terlalu gemuk debat capres,bapak memang terlihat sehat tetapi badan bapak kayaknya terlalu gemuk debat capres,"['bapak', 'memang', 'terlihat', 'sehat', 'tetapi', 'badan', 'bapak', 'kayaknya', 'terlalu', 'gemuk', 'debat', 'capres']","['sehat', 'badan', 'kayaknya', 'gemuk', 'debat', 'capres']",sehat badan kayak gemuk debat capres
"mencari kesimpulan debat capres semalam..  saran, boleh g debat capresnya mulai lebih awal? kasih genZ yg ngantukan kayak sy g bisa ikutan nonton🙏🏻",mencari kesimpulan debat capres semalam  saran boleh g debat capresnya mulai lebih awal kasih genZ yg ngantukan kayak sy g bisa ikutan nonton,mencari kesimpulan debat capres semalam  saran boleh g debat capresnya mulai lebih awal kasih genz yg ngantukan kayak sy g bisa ikutan nonton,"['mencari', 'kesimpulan', 'debat', 'capres', 'semalam', 'saran', 'boleh', 'g', 'debat', 'capresnya', 'mulai', 'lebih', 'awal', 'kasih', 'genz', 'yg', 'ngantukan', 'kayak', 'sy', 'g', 'bisa', 'ikutan', 'nonton']","['mencari', 'kesimpulan', 'debat', 'capres', 'semalam', 'saran', 'g', 'debat', 'capresnya', 'kasih', 'genz', 'yg', 'ngantukan', 'kayak', 'sy', 'g', 'ikutan', 'nonton']",cari simpul debat capres malam saran g debat capresnya kasih genz yg ngantukan kayak sy g ikut nonton
